text,transliteration
A good cook could cook as many cookies as a good cook who could cook cookies.,ə ɡʊd kʊk kʊd kʊk æz mɛni kʊkiz æz ə ɡʊd kʊk hu kʊd kʊk kʊkiz.
How much dew does a dewdrop drop?,haw mʌt͡ʃ du dowz ə dudɹɑp dɹɑp?
Eleven owls licked eleven little licorice lollipops.,ɪlɛvən awlz lɪkt ɪlɛvən lɪtəl lɪkɹ̩ɪʃ lɑlipɑps.
"When a doctor doctors a doctor, does the doctor doing the doctoring doctor as the doctor being doctored wants to be doctored or does the doctor doing the doctoring doctor as he wants to doctor?","wɛn ə dɑktɹ̩ dɑktɹ̩z ə dɑktɹ̩, dowz ðə dɑktɹ̩ duɪŋ ðə dɑktɹ̩ɪŋ dɑktɹ̩ æz ðə dɑktɹ̩ biɪŋ dɑktɹ̩d wɑnts tə bi dɑktɹ̩d ɔɹ dowz ðə dɑktɹ̩ duɪŋ ðə dɑktɹ̩ɪŋ dɑktɹ̩ æz hi wɑnts tə dɑktɹ̩?"
King Thistle stuck a thousand thistles in the thistle of his thumb.,kɪŋ θɪsəl stʌk ə θawzənd θɪsəlz ɪn ðə θɪsəl ʌv hɪz θʌm.
She sells sea shells by the sea shore.,ʃi sɛlz si ʃɛlz baj ðə si ʃɔɹ.
Kitty caught the kitten in the kitchen.,kɪti kɑt ðə kɪtən ɪn ðə kɪt͡ʃən.
"Whether the weather is warm, whether the weather is hot, we have to put with the weather.","wɛðɹ̩ ðə wɛðɹ̩ ɪz wɔɹm, wɛðɹ̩ ðə wɛðɹ̩ ɪz hɑt, wi hæv tə pʊt wɪð ðə wɛðɹ̩."
A swan swam over the sea.,ə swɑn swæm owvɹ̩ ðə si.
"If two witches were watching two watches, which witch would watch which watch?","ɪf tu wɪt͡ʃəz wɹ̩ wɑt͡ʃɪŋ tu wɑt͡ʃəz, wɪt͡ʃ wɪt͡ʃ wʊd wɑt͡ʃ wɪt͡ʃ wɑt͡ʃ?"
"The big bug bit the little beetle, but the little beetle bit the big bug back.","ðə bɪɡ bʌɡ bɪt ðə lɪtəl bitəl, bʌt ðə lɪtəl bitəl bɪt ðə bɪɡ bʌɡ bæk."
"If you want to buy, buy, if you don't want to buy, bye bye!","ɪf ju wɑnt tə baj, baj, ɪf ju dɑnt wɑnt tə baj, baj baj!"
The blue bluebird blinks.,ðə blu blubɹ̩d blɪŋks.
A tricky frisky snake with sixty super scaly stripes.,ə tɹɪki fɹɪski snejk wɪð sɪksti supɹ̩ skɑli stɹajps.
"I can think of six thin things, but I can think of six thick things too.","aj kæn θɪŋk ʌv sɪks θɪn θɪŋz, bʌt aj kæn θɪŋk ʌv sɪks θɪk θɪŋz tu."
Give papa a cup of coffee in a copper coffee cup.,ɡɪv pɑpə ə kʌp ʌv kɑfi ɪn ə kɑpɹ̩ kɑfi kʌp.
We threw three free throws towards where the three trees grow.,wi θɹu θɹi fɹi θɹowz təwɔɹdz wɛɹ ðə θɹi tɹiz ɡɹow.
How much wood would a woodchuck chuck if a woodchuck could chuck wood?,haw mʌt͡ʃ wʊd wʊd ə wʊdt͡ʃʌk t͡ʃʌk ɪf ə wʊdt͡ʃʌk kʊd t͡ʃʌk wʊd?
A big black bug hit a big black dog on his big black nose.,ə bɪɡ blæk bʌɡ hɪt ə bɪɡ blæk dɔɡ ɑn hɪz bɪɡ blæk nowz.
Red leather yellow leather.,ɹɛd lɛðɹ̩ jɛlow lɛðɹ̩.
"Quick kiss, quick kiss, quick kiss.","kwɪk kɪs, kwɪk kɪs, kwɪk kɪs."
Friendly fleas and fireflies fly away as the air flies.,fɹɛndli fliz ænd fajɹ̩əfliz flaj əwej æz ðə ɛɹ flajz.
My back black brake blocks are broken.,maj bæk blæk bɹejk blɑks ɑɹ bɹowkən.
I saw a kitten eating chicken in the kitchen.,aj sɔ ə kɪtən itɪŋ t͡ʃɪkən ɪn ðə kɪt͡ʃən.
I see he sees high seas she sees.,aj si hi siz haj siz ʃi siz.
Rather Ruth's writings than Roth's wrath.,ɹæðɹ̩ ɹʌθz ɹajtɪŋz ðæn ɹɔθz ɹæθ.
"The third time the three three-toed tree toads tried tying their toes together, the third three-toed tree toad tied the two three-toed tree toads toes to the third toads toes.","ðə θɹ̩d tajm ðə θɹi θɹi-towd tɹi towdz tɹajd tajɪŋ ðɛɹ towz təɡɛðɹ̩, ðə θɹ̩d θɹi-towd tɹi towd tajd ðə tu θɹi-towd tɹi towdz towz tə ðə θɹ̩d towdz towz."
What's a synonym for cinnamon?,wætz ə sɪnənɪm fɔɹ sɪnəmən?
"The theocratic thistle sifter, thrice thrust three thousand thistles through the slick thick of his softly throbbing thumb.","ðə θiəkɹætɪk θɪsəl sɪftɹ̩, θɹajs θɹʌst θɹi θawzənd θɪsəlz θɹu ðə slɪk θɪk ʌv hɪz sɔftli θɹɑbɪŋ θʌm."
"He thrusts his fists against the posts, and still insists he sees the ghosts.","hi θɹʌsts hɪz fɪsts əɡɛnst ðə powsts, ænd stɪl ɪnsɪsts hi siz ðə ɡowsts."
Grandma grabbed a gram of gummy goulash.,ɡɹæmɑ ɡɹæbd ə ɡɹæm ʌv ɡʌmi ɡulɑʃ.
"I thought the haughty professor taught ontology, but the naughty tortoise taught us tautology.","aj θɔt ðə hɔti pɹəfɛsɹ̩ tɔt ɑntɑləd͡ʒi, bʌt ðə nɔti tɔɹtəs tɔt ʌs tɔtɑləd͡ʒi."
"If a dog chews shoes, whose shoes does he choose?","ɪf ə dɔɡ t͡ʃuz ʃuz, huz ʃuz dowz hi t͡ʃuz?"
Wilson Winston winched whilst he minched a squinting prince.,wɪlsən wɪnstən wɪnkt wɪlst hi mɪnt͡ʃt ə skwɪntɪŋ pɹɪns.
Willy's wooden whistle wouldn't whistle when Willy went wild.,wɪlɪz wʊdən wɪsəl wʊdnt wɪsəl wɛn wɪli wɛnt wajld.
In shoulder surgery some surgeons sew soldier's shoulders.,ɪn ʃowldɹ̩ sɹ̩d͡ʒɹ̩i sʌm sɹ̩d͡ʒənz sow sowld͡ʒɹz ʃowldɹ̩z.
An illusory vision is a visionary illusion.,æn ɪlusɹ̩i vɪʒən ɪz ə vɪʒənɛɹi ɪluʒən.
How many rats would the ruskies roast if the ruskies could roast rats?,haw mɛni ɹæts wʊd ðə ɹʌskiz ɹowst ɪf ðə ɹʌskiz kʊd ɹowst ɹæts?
How many cats would a caddie catch if a caddie could catch cats?,haw mɛni kæts wʊd ə kædi kæt͡ʃ ɪf ə kædi kʊd kæt͡ʃ kæts?
Some soldiers sent epistles saying they'd sooner sleep on thistles than those saucy soft short shirts for soldiers which Sister Susie sews.,sʌm sowld͡ʒɹ̩z sɛnt ɪpɪstəlz sejɪŋ ðejd sunɹ̩ slip ɑn θɪsəlz ðæn ðowz sɔsi sɑft ʃɔɹt ʃɹ̩ts fɔɹ sowld͡ʒɹ̩z wɪt͡ʃ sɪstɹ̩ suzi suz.
If colored caterpillars could change their colors constantly could they keep their colored coat colored properly?,ɪf kʌlɹ̩d kætəpɪlɹ̩z kʊd t͡ʃejnd͡ʒ ðɛɹ kʌlɹ̩z kɑnstəntli kʊd ðej kip ðɛɹ kʌlɹ̩d kowt kʌlɹ̩d pɹɑpɹ̩li?
How much caramel can a canny cannonball cram into a camel if a canny cannonball can cram caramel into a camel?,haw mʌt͡ʃ kɛɹəməl kæn ə kæni kænənbɔl kɹæm ɪntu ə kæməl ɪf ə kæni kænənbɔl kæn kɹæm kɛɹəməl ɪntu ə kæməl?
"While these fleas flew, freezy breeze blew.","wajl ðiz fliz flu, fɹizi bɹiz blu."
Freezy breeze made these three trees freeze.,fɹizi bɹiz mejd ðiz θɹi tɹiz fɹiz.
Freezy trees made these tree's cheese freeze.,fɹizi tɹiz mejd ðiz tɹiz t͡ʃiz fɹiz.
How much juice does a fruit juice producer produce when a fruit juice producer produces fruit juice?,haw mʌt͡ʃ d͡ʒus dowz ə fɹut d͡ʒus pɹədusɹ̩ pɹowdus wɛn ə fɹut d͡ʒus pɹədusɹ̩ pɹədusɪz fɹut d͡ʒus?
I slit the sheet and sat on the slitted sheet.,aj slɪt ðə ʃit ænd sæt ɑn ðə slɪtɪd ʃit.
"When she shifts she sips, and when she sips she shifts.","wɛn ʃi ʃɪfts ʃi sɪps, ænd wɛn ʃi sɪps ʃi ʃɪfts."
A canner can can anything that he can.,ə kænɹ̩ kæn kæn ɛniθɪŋ ðæt hi kæn.
"A canner can't can a can, can he?","ə kænɹ̩ kænt kæn ə kæn, kæn hi?"
To sit in solemn silence on a dull dark dock in a pestilential prison with a lifelong lock.,tə sɪt ɪn sɑləm sajləns ɑn ə dʌl dɑɹk dɑk ɪn ə pɛstəlɛnt͡ʃəl pɹɪzən wɪð ə lajflɔŋ lɑk.
Awaiting the sensation of a short sharp shock from a cheap and chippy chopper on a big black block.,əwejtɪŋ ðə sɛnsejʃən ʌv ə ʃɔɹt ʃɑɹp ʃɑk fɹʌm ə t͡ʃip ænd t͡ʃɪpi t͡ʃɑpɹ̩ ɑn ə bɪɡ blæk blɑk.
"How much Zen would a Zen master master, if a Zen master could master all the Zen?","haw mʌt͡ʃ zɛn wʊd ə zɛn mæstɹ̩ mæstɹ̩, ɪf ə zɛn mæstɹ̩ kʊd mæstɹ̩ ɔl ðə zɛn?"
The piper pickled a peck of pickled peppers.,ðə pajpɹ̩ pɪkəld ə pɛk ʌv pɪkəld pɛpɹ̩z.
A tutor who tooted the flute tried to tutor two tooters to toot.,ə tutɹ̩ hu tutɪd ðə flut tɹajd tə tutɹ̩ tu tutɹ̩z tə tut.
Round and round the rugged rock the ragged rascal ran.,ɹawnd ænd ɹawnd ðə ɹʌɡəd ɹɑk ðə ɹæɡəd ɹæskəl ɹæn.
The sixth sick sheik's sixth sheep's sick.,ðə sɪksθ sɪk ʃiks sɪksθ ʃipz sɪk.
The winkle ship sank and the shrimp ship swam.,ðə wɪŋkəl ʃɪp sæŋk ænd ðə ʃɹɪmp ʃɪp swæm.
An old seabear sit on a pier and drinks a pint of beer.,æn owld sibɛɹ sɪt ɑn ə pɪɹ ænd dɹɪŋks ə pajnt ʌv bɪɹ.
"The shells she sells are sea shells, I am sure.","ðə ʃɛlz ʃi sɛlz ɑɹ si ʃɛlz, aj æm ʃʊɹ."
This can opener can open any can that can be opened by a can opener.,ðɪs kæn owpənɹ̩ kæn owpən ɛni kæn ðæt kæn bi owpənd baj ə kæn owpənɹ̩.
"A skunk sat on a stump and thunk the stump stunk, but the stump thunk the skunk stunk.","ə skʌŋk sæt ɑn ə stʌmp ænd θʌŋk ðə stʌmp stʌŋk, bʌt ðə stʌmp θʌŋk ðə skʌŋk stʌŋk."
Tie a tight knot in the shape of a nought.,taj ə tajt nɑt ɪn ðə ʃejp ʌv ə nɔt.
"It's not the cough that carries you off, it's the coffin they carry you off in!","ɪts nɑt ðə kɑf ðæt kæɹiz ju ɔf, ɪts ðə kɔfɪn ðej kæɹi ju ɔf ɪn!"
Crisp crusts crackle and crunch.,kɹɪsp kɹʌsts kɹækəl ænd kɹʌnt͡ʃ.
"If a black bug bleeds black blood, what does a blue bug bleed?","ɪf ə blæk bʌɡ blidz blæk blʌd, wʌt dowz ə blu bʌɡ blid?"
The thirty three thieves thought that they thrilled the throne throughout Thursday.,ðə θɹ̩di θɹi θivz θɔt ðæt ðej θɹɪld ðə θɹown θɹuawt θɹ̩zdi.
An ape hates grape cakes.,æn ejp hejts ɡɹejp kejks.
"I thought a thought, but the thought I thought wasn't the thought I thought I thought.","aj θɔt ə θɔt, bʌt ðə θɔt aj θɔt wɑsnt ðə θɔt aj θɔt aj θɔt."
Six slippery snails slid slowly seaward.,sɪks slɪpɹ̩i snejlz slɪd slowli siwɹ̩d.
Sounding by sound is a sound method of sounding sounds.,sawndɪŋ baj sawnd ɪz ə sawnd mɛθəd ʌv sawndɪŋ sawndz.
A sailor went to sea to see what he could see.,ə sejlɹ̩ wɛnt tə si tə si wʌt hi kʊd si.
These thousand tricky tongue twisters trip thrillingly off the tongue.,ðiz θawzənd tɹɪki tʌŋ twɪstɹ̩z tɹɪp θɹɪləɡli ɔf ðə tʌŋ.
"I wish to wish the wish you wish to wish, but if you wish the wish the witch wishes, I won't wish the wish you wish to wish.","aj wɪʃ tə wɪʃ ðə wɪʃ ju wɪʃ tə wɪʃ, bʌt ɪf ju wɪʃ ðə wɪʃ ðə wɪt͡ʃ wɪʃɪz, aj wɑnt wɪʃ ðə wɪʃ ju wɪʃ tə wɪʃ."
I thought of thinking of thanking you.,aj θɔt ʌv θɪŋkɪŋ ʌv θæŋkɪŋ ju.
A good cook could cook as much cookies as a good cook who could cook cookies.,ə ɡʊd kʊk kʊd kʊk æz mʌt͡ʃ kʊkiz æz ə ɡʊd kʊk hu kʊd kʊk kʊkiz.
Any noise annoys an oyster but a noisy noise annoys an oyster more.,ɛni nojz ənojz æn ojstɹ̩ bʌt ə nojzi nojz ənojz æn ojstɹ̩ mɔɹ.
Growing gray goats graze great green grassy groves.,ɡɹowɪŋ ɡɹej ɡowts ɡɹejz ɡɹejt ɡɹin ɡɹæsi ɡɹowvz.
Vincent vowed vengeance very vehemently.,vɪnsənt vawd vɛnd͡ʒəns vɛɹi viəməntli.
Which wrist watches are Swiss wrist watches?,wɪt͡ʃ ɹɪst wɑt͡ʃəz ɑɹ swɪs ɹɪst wɑt͡ʃəz?
Four furious friends fought for the phone.,fɔɹ fjʊɹiəs fɹɛndz fɔt fɔɹ ðə fown.
The cat catchers can't catch caught cats.,ðə kæt kæt͡ʃɹ̩z kænt kæt͡ʃ kɑt kæts.
Three fluffy feathers fell from Phoebe's flimsy fan.,θɹi flʌfi fɛðɹ̩z fɛl fɹʌm fbɛz flɪmzi fæn.
Rory's lawn rake rarely rakes really right.,ɹɔɹɪz lɔn ɹejk ɹɛɹli ɹejks ɹɪli ɹajt.
She should shun the shining sun.,ʃi ʃʊd ʃʌn ðə ʃajnɪŋ sʌn.
Cooks cook cupcakes quickly.,kʊks kʊk kʌpkejks kwɪkli.
She sold six shabby sheared sheep on ship.,ʃi sowld sɪks ʃæbi ʃɪɹd ʃip ɑn ʃɪp.
Mix a box of mixed biscuits with a boxed biscuit mixer.,mɪks ə bɑks ʌv mɪkst bɪskəts wɪð ə bɑkst bɪskət mɪksɹ̩.
Twelve twins twirled twelve twigs.,twɛlv twɪnz twɹ̩ld twɛlv twɪɡz.
"If you notice this notice, you will notice this notice is not worth noticing.","ɪf ju nowtəs ðɪs nowtəs, ju wɪl nowtəs ðɪs nowtəs ɪz nɑt wɹ̩θ nowtɪsɪŋ."
The bottom of the butter bucket is the buttered bucket bottom.,ðə bɑtəm ʌv ðə bʌtɹ̩ bʌkət ɪz ðə bʌtɹ̩d bʌkət bɑtəm.
Five frantic frogs fled from fifty fierce fishes.,fajv fɹæntɪk fɹɑɡz flɛd fɹʌm fɪfti fɪɹs fɪʃəz.
Betty and Bob bought back blue balloons from the big bazaar,bɛti ænd bɑb bɑt bæk blu bəlunz fɹʌm ðə bɪɡ bəzɑɹ
Susie sits shinning silver shoes.,suzi sɪts ʃɪnɪŋ sɪlvɹ̩ ʃuz.
little Lillian lets lazy lizards lie along the lily pads.,lɪtəl lɪliən lɛts lejzi lɪzɹ̩dz laj əlɔŋ ðə lɪli pædz.
Does your sport shop stock short socks with spots?,dowz jɔɹ spɔɹt ʃɑp stɑk ʃɔɹt sɑks wɪð spɑts?
Many mumbling mice are making merry music in the moonlight.,mɛni mʌmbəlɪŋ majs ɑɹ mejkɪŋ mɛɹi mjuzɪk ɪn ðə munlajt.
The boot black bought the black boot back.,ðə but blæk bɑt ðə blæk but bæk.
"Each Easter, Eddie eats eighty Easter eggs.","it͡ʃ istɹ̩, ɛdi its ejti istɹ̩ ɛɡz."
The great Greek grape growers grow great Greek grapes.,ðə ɡɹejt ɡɹik ɡɹejp ɡɹowɹ̩z ɡɹow ɡɹejt ɡɹik ɡɹejps.
No need to light a night light on a light night like tonight.,now nid tə lajt ə najt lajt ɑn ə lajt najt lajk tənajt.
Green glass globes glow greenly.,ɡɹin ɡlæs ɡlɑbz ɡlow ɡɹinli.
Clean clams crammed in clean cans.,klin klæmz kɹæmd ɪn klin kænz.
A slimey snake slithered down the sandy Sahara.,ə slajmi snejk slajðɹ̩d dawn ðə sændi səhɛɹə.
Bake big batches of bitter brown bread.,bejk bɪɡ bæt͡ʃəz ʌv bɪtɹ̩ bɹawn bɹɛd.
"Six socks sit in a sink, soaking in soap suds.","sɪks sɑks sɪt ɪn ə sɪŋk, sowkɪŋ ɪn sowp sʌdz."
Shave a single shingle thin.,ʃejv ə sɪŋɡəl ʃɪŋɡəl θɪn.
I saw Susie sitting in a shoe shine shop.,aj sɔ suzi sɪtɪŋ ɪn ə ʃu ʃajn ʃɑp.
Freed flies feed on fries.,fɹid flajz fid ɑn fɹajz.
Don't trouble the trouble till the trouble troubles you.,dɑnt tɹʌbəl ðə tɹʌbəl tɪl ðə tɹʌbəl tɹʌbəlz ju.
"If a dog chews shoes, whose shoes does he choose?","ɪf ə dɔɡ t͡ʃuz ʃuz, huz ʃuz dowz hi t͡ʃuz?"
Dan does work in Derick's dark den.,dæn dowz wɹ̩k ɪn dɛɹɪkz dɑɹk dɛn.
Did Fred fry fresh fruit on Friday?,dɪd fɹɛd fɹaj fɹɛʃ fɹut ɑn fɹajdi?
Slimy snakes sailed stormy seas.,slajmi snejks sejld stɔɹmi siz.
I saw he saw me sitting on a seesaw.,aj sɔ hi sɔ mi sɪtɪŋ ɑn ə sisɔ.
"How many boards could the Mongol hordes hoard, if the Mongol hordes got bored?","haw mɛni bɔɹdz kʊd ðə mɑŋɡəl hɔɹdz hɔɹd, ɪf ðə mɑŋɡəl hɔɹdz ɡɑt bɔɹd?"
How can a clam cram in a clean cream can?,haw kæn ə klæm kɹæm ɪn ə klin kɹim kæn?
Send toast to ten tense stout saint's ten tall tents.,sɛnd towst tə tɛn tɛns stawt sejntz tɛn tɔl tɛnts.
Coy knows pseudonoise codes.,koj nowz sudənwz kowdz.
A fisherman fished for some fish in a fissure.,ə fɪʃɹ̩mæn fɪʃt fɔɹ sʌm fɪʃ ɪn ə fɪʃɹ̩.
Picky people pick PeterPan peanut butter.,pɪki pipəl pɪk pitɹ̩pæn pinət bʌtɹ̩.
Wayne went to Wales to watch walruses.,wejn wɛnt tə wejlz tə wɑt͡ʃ wɑlɹəsɪz.
If Pickford's packers packed a packet of crisps would the packet of crisps that Pickford's packers packed survive for two and a half years?,ɪf pɪkfɔɹdz pækɹ̩z pækt ə pækət ʌv kɹɪsps wʊd ðə pækət ʌv kɹɪsps ðæt pɪkfɔɹdz pækɹ̩z pækt sɹ̩vajv fɔɹ tu ænd ə hæf jɪɹz?
Six sleek swans swam swiftly southwards.,sɪks slik swɑnz swæm swɪftli sawθwɹ̩dz.
Gobbling gorgoyles gobbled gobbling goblins.,ɡɑbəlɪŋ ɡɔɹɡojlz ɡɑbəld ɡɑbəlɪŋ ɡɑblɪnz.
Did Dick Pickens prick his pinkie pickling cheap cling peaches in an inch of Pinch or framing his famed French finch photos?,dɪd dɪk pɪkənz pɹɪk hɪz pɪŋki pɪklɪŋ t͡ʃip klɪŋ pit͡ʃəz ɪn æn ɪnt͡ʃ ʌv pɪnt͡ʃ ɔɹ fɹejmɪŋ hɪz fejmd fɹɛnt͡ʃ fɪnt͡ʃ fowtowz?
The pirates pirated private property.,ðə pajɹəts pajɹətɪd pɹajvət pɹɑpɹ̩ti.
When you write copy you have the right to copyright the copy you write.,wɛn ju ɹajt kɑpi ju hæv ðə ɹajt tə kɑpiɹajt ðə kɑpi ju ɹajt.
"A groundhog would hog all the ground he could hog, if a groundhog could hog ground.","ə ɡɹawndhɑɡ wʊd hɑɡ ɔl ðə ɡɹawnd hi kʊd hɑɡ, ɪf ə ɡɹawndhɑɡ kʊd hɑɡ ɡɹawnd."
"How much pot, could a pot roast roast, if a pot roast could roast pot.","haw mʌt͡ʃ pɑt, kʊd ə pɑt ɹowst ɹowst, ɪf ə pɑt ɹowst kʊd ɹowst pɑt."
"How many cans can a cannibal nibble, if a cannibal can nibble cans?","haw mɛni kænz kæn ə kænəbəl nɪbəl, ɪf ə kænəbəl kæn nɪbəl kænz?"
"If you're keen on stunning kites and cunning stunts, buy a cunning stunning stunt kite.","ɪf jɹ kin ɑn stʌnɪŋ kajts ænd kʌnɪŋ stʌnts, baj ə kʌnɪŋ stʌnɪŋ stʌnt kajt."
Whether the temperature's rises or whether the temperature falls the nature watcher just watches the catcher who's watching the pitcher who's watching the balls.,wɛðɹ̩ ðə tɛmpɹət͡ʃɹ̩əz ɹajzəz ɔɹ wɛðɹ̩ ðə tɛmpɹət͡ʃɹ̩ fɔlz ðə nejt͡ʃɹ̩ wɑt͡ʃɹ̩ d͡ʒʌst wɑt͡ʃəz ðə kæt͡ʃɹ̩ hɑz wɑt͡ʃɪŋ ðə pɪt͡ʃɹ̩ hɑz wɑt͡ʃɪŋ ðə bɔlz.
I saw an excited executioner exercising his excising powers excessively.,aj sɔ æn ɪksajtəd ɛksəkjuʃənɹ̩ ɛksɹ̩sajzɪŋ hɪz ɪksajzɪŋ pawɹ̩z ɪksɛsɪvli.
Pail of ale aiding ailing Al's travails.,pejl ʌv ejl ejdɪŋ ejlɪŋ ælz tɹəvejlz.
A gazillion gigantic grapes gushed gradually giving gophers gooey guts.,ə ɡɑzɪljən d͡ʒajɡæntɪk ɡɹejps ɡʌʃt ɡɹæd͡ʒuəli ɡɪvɪŋ ɡowfɹ̩z ɡui ɡʌts.
The owner of the inside inn was inside his inside inn with his inside outside his inside inn.,ðə ownɹ̩ ʌv ðə ɪnsajd ɪn wɑz ɪnsajd hɪz ɪnsajd ɪn wɪð hɪz ɪnsajd awtsajd hɪz ɪnsajd ɪn.
"There those thousand thinkers were thinking, where did those other three thieves go through.","ðɛɹ ðowz θawzənd θɪŋkɹ̩z wɹ̩ θɪŋkɪŋ, wɛɹ dɪd ðowz ʌðɹ̩ θɹi θivz ɡow θɹu."
"A turbot's not a burbot, for a turbot's a butt, but a burbot's not.","ə tɹ̩bowtz nɑt ə bɹ̩bət, fɔɹ ə tɹ̩bowtz ə bʌt, bʌt ə bɹ̩bowtz nɑt."
Five fuzzy French frogs frolicked through the fields in France.,fajv fʌzi fɹɛnt͡ʃ fɹɑɡz fɹɑlɪkt θɹu ðə fildz ɪn fɹæns.
How much ground could a groundhog grind if a groundhog could grind ground?,haw mʌt͡ʃ ɡɹawnd kʊd ə ɡɹawndhɑɡ ɡɹajnd ɪf ə ɡɹawndhɑɡ kʊd ɡɹajnd ɡɹawnd?
Thirty-three thousand people think that Thursday is their thirtieth birthday.,θɹ̩di-θɹi θawzənd pipəl θɪŋk ðæt θɹ̩zdi ɪz ðɛɹ θɹ̩tiəθ bɹ̩θdej.
How may saws could a see-saw saw if a see-saw could saw saws?,haw mej sɔz kʊd ə si-sɔ sɔ ɪf ə si-sɔ kʊd sɔ sɔz?
A wood turtle would hurdle as much myrtle as a wood turtle could hurdle if a wood turtle could hurdle myrtle.,ə wʊd tɹ̩təl wʊd hɹ̩dəl æz mʌt͡ʃ mɹ̩təl æz ə wʊd tɹ̩təl kʊd hɹ̩dəl ɪf ə wʊd tɹ̩təl kʊd hɹ̩dəl mɹ̩təl.
Shut up the shutters and sit in the shop.,ʃʌt ʌp ðə ʃʌtɹ̩z ænd sɪt ɪn ðə ʃɑp.
An elephant was asphyxiated in the asphalt.,æn ɛləfənt wɑz æsfiksiejtɪd ɪn ðə æsfɔlt.
There was a minimum of cinnamon in the aluminum pan.,ðɛɹ wɑz ə mɪnəməm ʌv sɪnəmən ɪn ðə əlumənəm pæn.
How much oil boil can a gum boil boil if a gum boil can boil oil?,haw mʌt͡ʃ ojl bojl kæn ə ɡʌm bojl bojl ɪf ə ɡʌm bojl kæn bojl ojl?
No nose knows like a gnome's nose knows.,now nowz nowz lajk ə nɑmɛz nowz nowz.
Ripe white wheat reapers reap ripe white wheat right.,ɹajp wajt wit ɹipɹ̩z ɹip ɹajp wajt wit ɹajt.
Blake's black bike's back brake bracket block broke.,blejkəz blæk bajkəz bæk bɹejk bɹækɪt blɑk bɹowk.
"A rough-coated, dough-faced, thoughtful ploughman strode through the streets of Scarborough; after falling into a slough, he coughed and hiccoughed.","ə ɹʌf-kowtəd, dow-fejst, θɔtfəl plawmən stɹowd θɹu ðə stɹits ʌv skɑɹbɹ̩ow; æftɹ̩ fɔlɪŋ ɪntu ə slʌf, hi kɔft ænd hɪkawfd."
Mrs Hunt had a country cut front in the front of her country cut pettycoat.,mɪsɪz hʌnt hæd ə kʌntɹi kʌt fɹʌnt ɪn ðə fɹʌnt ʌv hɹ̩ kʌntɹi kʌt pɛtajkowt.
Can you imagine an imaginary menagerie manager imagining managing an imaginary menagerie?,kæn ju ɪmæd͡ʒən æn ɪmæd͡ʒənɛɹi mənæd͡ʒɹ̩i mænəd͡ʒɹ̩ ɪmæd͡ʒənɪŋ mænɪd͡ʒɪŋ æn ɪmæd͡ʒənɛɹi mənæd͡ʒɹ̩i?
Clowns grow glowing crowns.,klawnz ɡɹow ɡlowɪŋ kɹawnz.
If you stick a stock of liquor in your locker it is slick to stick a lock upon your stock or some joker who is slicker is going to trick you of your liquor if you fail to lock your liquor with a lock.,ɪf ju stɪk ə stɑk ʌv lɪkɹ̩ ɪn jɔɹ lɑkɹ̩ ɪt ɪz slɪk tə stɪk ə lɑk əpɑn jɔɹ stɑk ɔɹ sʌm d͡ʒowkɹ̩ hu ɪz slɪkɹ̩ ɪz ɡowɪŋ tə tɹɪk ju ʌv jɔɹ lɪkɹ̩ ɪf ju fejl tə lɑk jɔɹ lɪkɹ̩ wɪð ə lɑk.
