text,transliteration
The soldier's shoulder surely hurts.,ðə sowld͡ʒɹz ʃowldɹ̩ ʃʊɹli hɹ̩ts.
She sees seas slapping shores.,ʃi siz siz slæpɪŋ ʃɔɹz.
Six sick sea-serpents swam the seven seas.,sɪks sɪk si-sɹ̩pənts swæm ðə sɛvən siz.
There was a little witch which switched from Chichester to Ipswich.,ðɛɹ wɑz ə lɪtəl wɪt͡ʃ wɪt͡ʃ swɪt͡ʃt fɹʌm t͡ʃɪt͡ʃɛstɹ̩ tə ɪpswɪt͡ʃ.
Seven slick and sexy sealskin ski suits slid slowly down the slope.,sɛvən slɪk ænd sɛksi silskɪn ski suts slɪd slowli dawn ðə slowp.
If you go for a gopher a gopher will go for a gopher hole.,ɪf ju ɡow fɔɹ ə ɡowfɹ̩ ə ɡowfɹ̩ wɪl ɡow fɔɹ ə ɡowfɹ̩ howl.
The crow flew over the river with a lump of raw liver.,ðə kɹow flu owvɹ̩ ðə ɹɪvɹ̩ wɪð ə lʌmp ʌv ɹɔ lɪvɹ̩.
"Mares eat oats and does eat oats, but little lambs eat ivy.","mɛɹz it owts ænd dowz it owts, bʌt lɪtəl læmz it ajvi."
"The king would sing, about a ring that would go ding.","ðə kɪŋ wʊd sɪŋ, əbawt ə ɹɪŋ ðæt wʊd ɡow dɪŋ."
"Bob Dole would dole as much dough as Bob Dole could dole, if Bob Dole could dole dough.","bɑb dowl wʊd dowl æz mʌt͡ʃ dow æz bɑb dowl kʊd dowl, ɪf bɑb dowl kʊd dowl dow."
A nurse anesthetist unearthed a nest.,ə nɹ̩s ənɛsθətəst ənɹ̩θt ə nɛst.
"We will learn why her lowly lone, worn yarn loom will rarely earn immoral money.","wi wɪl lɹ̩n waj hɹ̩ lowli lown, wɔɹn jɑɹn lum wɪl ɹɛɹli ɹ̩n ɪmɔɹəl mʌni."
Don't spring on the inner-spring this spring or there will be an offspring next spring.,dɑnt spɹɪŋ ɑn ðə ɪnɹ̩-spɹɪŋ ðɪs spɹɪŋ ɔɹ ðɛɹ wɪl bi æn ɔfspɹɪŋ nɛkst spɹɪŋ.
A happy hippo hopped and hiccupped.,ə hæpi hɪpow hɑpt ænd hɪkʌpt.
How many pounds in a groundhog's mound when a groundhog pounds hog mounds?,haw mɛni pawndz ɪn ə ɡɹawndhowɡz mawnd wɛn ə ɡɹawndhɑɡ pawndz hɑɡ mawndz?
There was a little witch which switched from Chichester to Ipswich.,ðɛɹ wɑz ə lɪtəl wɪt͡ʃ wɪt͡ʃ swɪt͡ʃt fɹʌm t͡ʃɪt͡ʃɛstɹ̩ tə ɪpswɪt͡ʃ.
A yelling yellow yeti yelled at the yawning yeoman.,ə jɛlɪŋ jɛlow jɛti jɛld æt ðə jɔnɪŋ jowmən.
Tell Tom the ticket taker to take the ticket to the ticket wicket.,tɛl tɑm ðə tɪkət tejkɹ̩ tə tejk ðə tɪkət tə ðə tɪkət wɪkət.
She surely suits shiny sleek short skirts.,ʃi ʃʊɹli suts ʃajni slik ʃɔɹt skɹ̩ts.
She snapped a selfie with Sophie's silver cell phone.,ʃi snæpt ə sɛlfi wɪð səfiz sɪlvɹ̩ sɛl fown.
Washing the washing machine while watching the washing machine washing washing.,wɑʃɪŋ ðə wɑʃɪŋ məʃin wajl wɑt͡ʃɪŋ ðə wɑʃɪŋ məʃin wɑʃɪŋ wɑʃɪŋ.
How many wenches could a witch's wench wrench wrench if a witch's wench wrench could wrench wenches?,haw mɛni wɛnt͡ʃɪz kʊd ə wɪt͡ʃz wɛnk ɹɛnt͡ʃ ɹɛnt͡ʃ ɪf ə wɪt͡ʃz wɛnk ɹɛnt͡ʃ kʊd ɹɛnt͡ʃ wɛnt͡ʃɪz?
Quick queens quack quick quacks quicker than quacking quails.,kwɪk kwinz kwæk kwɪk kwæks kwɪkɹ̩ ðæn kwækɪŋ kwejlz.
Three free fleas flew freely through the flu.,θɹi fɹi fliz flu fɹili θɹu ðə flu.
"Nope, an antelope can't elope with a cantelope.","nowp, æn æntəlowp kænt ɪlowp wɪð ə kæntəlowp."
An inchworm inches on ivy that itches.,æn ɪnt͡ʃwɹ̩m ɪnt͡ʃəz ɑn ajvi ðæt ɪt͡ʃəz.
Many an anemone sees an enemy anemone.,mɛni æn ænɪmown siz æn ɛnəmi ænɪmown.
Frozen Floyd flicks fat fleas for a fixed flat fee.,fɹowzən flojd flɪks fæt fliz fɔɹ ə fɪkst flæt fi.
The greedy Greek geek agreed.,ðə ɡɹidi ɡɹik ɡik əɡɹid.
The children eat the chicken in the kitchen.,ðə t͡ʃɪldɹən it ðə t͡ʃɪkən ɪn ðə kɪt͡ʃən.
How many bears could Bear Grills grill if Bear grills could grill bears?,haw mɛni bɛɹz kʊd bɛɹ ɡɹɪlz ɡɹɪl ɪf bɛɹ ɡɹɪlz kʊd ɡɹɪl bɛɹz?
Carolina Herrera resides in the rural area with her running horses.,kɛɹəlajnə hɹ̩ɛɹə ɹɪzajdz ɪn ðə ɹʊɹəl ɛɹiə wɪð hɹ̩ ɹʌnɪŋ hɔɹsəz.
Four poor fools filled four pools full.,fɔɹ pʊɹ fulz fɪld fɔɹ pulz fʊl.
My back black brake blocks are broken.,maj bæk blæk bɹejk blɑks ɑɹ bɹowkən.
I see he sees high seas she sees.,aj si hi siz haj siz ʃi siz.
Willy's wooden whistle wouldn't whistle when Willy went wild.,wɪlɪz wʊdən wɪsəl wʊdnt wɪsəl wɛn wɪli wɛnt wajld.
A snake sneaks to seek a snack.,ə snejk sniks tə sik ə snæk.
It dawned on the don at dawn.,ɪt dɔnd ɑn ðə dɑn æt dɔn.
My Swiss miss misses me.,maj swɪs mɪs mɪsəz mi.
How many tow trucks would a tow truck tow if a tow truck could tow tow trucks?,haw mɛni tow tɹʌks wʊd ə tow tɹʌk tow ɪf ə tow tɹʌk kʊd tow tow tɹʌks?
Which Swiss witch switched the Swiss wristwatches?,wɪt͡ʃ swɪs wɪt͡ʃ swɪt͡ʃt ðə swɪs ɹɪstwɑt͡ʃɪz?
Ken can ken that Ken's kin can ken Ken's kin's ken.,kɛn kæn kɛn ðæt kɛnz kɪn kæn kɛn kɛnz kɪnz kɛn.
Three tired tigers try to throw three trees.,θɹi tajɹ̩d tajɡɹ̩z tɹaj tə θɹow θɹi tɹiz.
They think that their teeth get thinner at times they want to taste thick meat.,ðej θɪŋk ðæt ðɛɹ tiθ ɡɛt θɪnɹ̩ æt tajmz ðej wɑnt tə tejst θɪk mit.
"Tell a tale of a tall tailed dog, that told Tim it tap a tall ale and thump the top of Tim's tomb.","tɛl ə tejl ʌv ə tɔl tejld dɔɡ, ðæt towld tɪm ɪt tæp ə tɔl ejl ænd θʌmp ðə tɑp ʌv tɪmz tum."
Lenny Lou leopard led leprechauns leaping like lemmings.,lɛni lu lɛpɹ̩d lɛd lɛpɹɛʃawnz lipɪŋ lajk lɛmɪŋz.
Silly Sally Shouldnort shaved sheep she should show soon so selling sheep shaved showed she shouldn't show shaved sheep so soon.,sɪli sæli ʃowdnɔɹt ʃejvd ʃip ʃi ʃʊd ʃow sun sow sɛlɪŋ ʃip ʃejvd ʃowd ʃi ʃowdnt ʃow ʃejvd ʃip sow sun.
"The maid made mainly lard and lemonade, but lamely never made a well-named, labelled marmalade.","ðə mejd mejd mejnli lɑɹd ænd lɛmənejd, bʌt lejmli nɛvɹ̩ mejd ə wɛl-nejmd, lejbəld mɑɹməlejd."
How much snus could a moose on the loose use if a moose on the loose could use loose snus?,haw mʌt͡ʃ snəs kʊd ə mus ɑn ðə lus jus ɪf ə mus ɑn ðə lus kʊd jus lus snəs?
"In view, a humble vaudevillian veteran, cast vicariously as both victim and villain by the vicissitudes of Fate.","ɪn vju, ə hʌmbəl vɑdvɪljən vɛtɹ̩ən, kæst vajkɛɹiəsli æz bowθ vɪktəm ænd vɪlən baj ðə vɪsɪsɪtudz ʌv fejt."
"This visage, no mere veneer of vanity, is a vestige of the vox populi, now vacant, vanished.","ðɪs vɪzəd͡ʒ, now mɪɹ vənɪɹ ʌv vænəti, ɪz ə vɛstɪd͡ʒ ʌv ðə vɑks pɑpjuli, naw vejkənt, vænɪʃt."
"However, this valorous visitation of a by-gone vexation, stands vivified and has vowed to vanquish these venal and virulent vermin van-guarding vice and vouchsafing the violently vicious and voracious violation of volition.","hawɛvɹ̩, ðɪs vælɹ̩əs vɪzətejʃən ʌv ə baj-ɡɔn vɛksejʃən, stændz vɪvəfajd ænd hæz vawd tə vænkwɪʃ ðiz vinəl ænd vɪɹələnt vɹ̩mɪn væn-ɡɑɹdɪŋ vajs ænd vawt͡ʃsɑfɪŋ ðə vajələntli vɪʃəs ænd vɔɹejʃəs vajəlejʃən ʌv vowlɪʃən."
"The only verdict is vengeance; a vendetta, held as a votive, not in vain, for the value and veracity of such shall one day vindicate the vigilant and the virtuous.","ðə ownli vɹ̩dɪkt ɪz vɛnd͡ʒəns; ə vɛndɛtə, hɛld æz ə vowtɪv, nɑt ɪn vejn, fɔɹ ðə vælju ænd vɹ̩æsɪti ʌv sʌt͡ʃ ʃæl wʌn dej vɪndəkejt ðə vɪd͡ʒələnt ænd ðə vɹ̩t͡ʃuəs."
I gratefully gazed at the gracefully grazing gazelles.,aj ɡɹejtfəli ɡejzd æt ðə ɡɹejsfəli ɡɹejzɪŋ ɡəzɛlz.
Bad dead bed-bugs bleed bug blood.,bæd dɛd bɛd-bʌɡz blid bʌɡ blʌd.
"How many ducks could a duck duct-tape, if a duck could duct-tape ducks?","haw mɛni dʌks kʊd ə dʌk dʌkt-tejp, ɪf ə dʌk kʊd dʌkt-tejp dʌks?"
How much cash could a sasquatch stash if a sasquatch could stash cash?,haw mʌt͡ʃ kæʃ kʊd ə sæskwæt͡ʃ stæʃ ɪf ə sæskwæt͡ʃ kʊd stæʃ kæʃ?
It's a nice night for a white rice fight.,ɪts ə najs najt fɔɹ ə wajt ɹajs fajt.
Frank's fisher fishes on Friday for Frank's Friday fresh fried fish fest.,fɹæŋkz fɪʃɹ̩ fɪʃəz ɑn fɹajdi fɔɹ fɹæŋkz fɹajdi fɹɛʃ fɹajd fɪʃ fɛst.
"If practice makes perfect and perfect needs practice, I’m perfectly practiced and practically perfect.","ɪf pɹæktəs mejks pɹ̩fəkt ænd pɹ̩fəkt nidz pɹæktəs, ajm pɹ̩fəktli pɹæktəst ænd pɹæktəkli pɹ̩fəkt."
Thirty-three thousand feathers on a thrushes throat.,θɹ̩di-θɹi θawzənd fɛðɹ̩z ɑn ə θɹʌʃəz θɹowt.
"Feeling footloose, fancy-free and frisky, this feather-brained fellow finagled his fond father into forking over his fortune.","filɪŋ fʊtlus, fænsi-fɹi ænd fɹɪski, ðɪs fɛðɹ̩-bɹejnd fɛlow fɪnəɡəld hɪz fɑnd fɑðɹ̩ ɪntu fɔɹkɪŋ owvɹ̩ hɪz fɔɹt͡ʃən."
"Finally, fleeced by those folly filled fellows and facing famine, he found himself a feed flinger in a filthy farm.","fajnəli, flist baj ðowz fɑli fɪld fɛlowz ænd fejsɪŋ fæmən, hi fawnd hɪmsɛlf ə fid flɪŋɹ̩ ɪn ə fɪlθi fɑɹm."
"Farrell's features fabulous food and fantastic fountain fantasies for frolicking, fun filled festive families.","fɛɛlz fit͡ʃɹ̩z fæbjələs fud ænd fæntæstɪk fawntən fæntəsiz fɔɹ fɹɑlɪkɪŋ, fʌn fɪld fɛstɪv fæməliz."
A wooden worm wouldn't be worthy of worship but would he if he wondered and worried about what he would be worthy of if he wasn't wooden?,ə wʊdən wɹ̩m wʊdnt bi wɹ̩ði ʌv wɹ̩ʃəp bʌt wʊd hi ɪf hi wʌndɹ̩d ænd wɹ̩id əbawt wʌt hi wʊd bi wɹ̩ði ʌv ɪf hi wɑsnt wʊdən?
I broke a brickbat and a brickbat broke me.,aj bɹowk ə bɹɪkbæt ænd ə bɹɪkbæt bɹowk mi.
"There was a writer named Wright, he taught his son to write Wright right.","ðɛɹ wɑz ə ɹajtɹ̩ nejmd ɹajt, hi tɔt hɪz sʌn tə ɹajt ɹajt ɹajt."
He wanted to desert his dessert in the desert.,hi wɑntəd tə dɛzɹ̩t hɪz dɪzɹ̩t ɪn ðə dɛzɹ̩t.
"You're behaving like a babbling, bumbling band of baboons.","jɹ bɪhejvɪŋ lajk ə bæbəlɪŋ, bʌmbəlɪŋ bænd ʌv bæbunz."
Tricky Tristan tracked a trail of tiny turtles.,tɹɪki tɹɪstæn tɹækt ə tɹejl ʌv tajni tɹ̩təlz.
The two-toed tree toad tried to tread where the three-toed tree toad trod.,ðə tu-towd tɹi towd tɹajd tə tɹɛd wɛɹ ðə θɹi-towd tɹi towd tɹɑd.
They hatch fish at the state fish hatchery and sell hatched fish to the fish stick factory.,ðej hæt͡ʃ fɪʃ æt ðə stejt fɪʃ hæt͡ʃɹ̩i ænd sɛl hæt͡ʃt fɪʃ tə ðə fɪʃ stɪk fæktɹ̩i.
Of all the felt I ever felt I never felt felt that felt like that felt felt.,ʌv ɔl ðə fɛlt aj ɛvɹ̩ fɛlt aj nɛvɹ̩ fɛlt fɛlt ðæt fɛlt lajk ðæt fɛlt fɛlt.
"How many snacks could a snack stacker stack, if a snack stacker snacked stacked snacks?","haw mɛni snæks kʊd ə snæk stækɹ̩ stæk, ɪf ə snæk stækɹ̩ snækt stækt snæks?"
Certified certificates from certified certificate certifiers.,sɹ̩təfajd sɹ̩tɪfɪkəts fɹʌm sɹ̩təfajd sɹ̩tʌfəkət sɹ̩təfajɹ̩z.
"The cat crept into the crypt, crapped and crept out.","ðə kæt kɹɛpt ɪntu ðə kɹɪpt, kɹæpt ænd kɹɛpt awt."
The Smothers brother's father's mother's brothers are the Smothers brother's mother's father's other brothers.,ðə smʌðɹ̩z bɹʌðɹ̩z fɑðɹ̩z mʌðɹ̩z bɹʌðɹ̩z ɑɹ ðə smʌðɹ̩z bɹʌðɹ̩z mʌðɹ̩z fɑðɹ̩z ʌðɹ̩ bɹʌðɹ̩z.
"Sure, sir, the ship's sure shipshape, sir.","ʃʊɹ, sɹ̩, ðə ʃɪpz ʃʊɹ ʃɪpʃejp, sɹ̩."
I bought a bit of baking powder and baked a batch of biscuits.,aj bɑt ə bɪt ʌv bejkɪŋ pawdɹ̩ ænd bejkt ə bæt͡ʃ ʌv bɪskəts.
Then I took the big basket of biscuits and the basket of big biscuits and mixed the big biscuits with the basket of biscuits that was next to the big basket and put a bunch of biscuits from the basket into a biscuit mixer and brought the basket of biscuits and the box of mixed biscuits and the biscuit mixer to the bakery and opened a tin of sardines.,ðɛn aj tʊk ðə bɪɡ bæskət ʌv bɪskəts ænd ðə bæskət ʌv bɪɡ bɪskəts ænd mɪkst ðə bɪɡ bɪskəts wɪð ðə bæskət ʌv bɪskəts ðæt wɑz nɛkst tə ðə bɪɡ bæskət ænd pʊt ə bʌnt͡ʃ ʌv bɪskəts fɹʌm ðə bæskət ɪntu ə bɪskət mɪksɹ̩ ænd bɹɔt ðə bæskət ʌv bɪskəts ænd ðə bɑks ʌv mɪkst bɪskəts ænd ðə bɪskət mɪksɹ̩ tə ðə bejkɹ̩i ænd owpənd ə tɪn ʌv sɑɹdinz.
I brought a big basket of biscuits back to the bakery and baked a basket of big biscuits.,aj bɹɔt ə bɪɡ bæskət ʌv bɪskəts bæk tə ðə bejkɹ̩i ænd bejkt ə bæskət ʌv bɪɡ bɪskəts.
My mommy makes me muffins on Mondays.,maj mɑmi mejks mi mʌfənz ɑn mʌndiz.
Flies fly but a fly flies.,flajz flaj bʌt ə flaj flajz.
"But the sadness of her sadness, and the gladness of her gladness, are nothing like her madness when she's mad!","bʌt ðə sædnəs ʌv hɹ̩ sædnəs, ænd ðə ɡlædnəs ʌv hɹ̩ ɡlædnəs, ɑɹ nʌθɪŋ lajk hɹ̩ mædnəs wɛn ʃɛz mæd!"
Three tree turtles took turns talking tongue twisters.,θɹi tɹi tɹ̩təlz tʊk tɹ̩nz tɔkɪŋ tʌŋ twɪstɹ̩z.
I wish I were what I was when I wished I were what I am.,aj wɪʃ aj wɹ̩ wʌt aj wɑz wɛn aj wɪʃt aj wɹ̩ wʌt aj æm.
"Larry Hurley, a burly squirrel hurler, hurled a furry squirrel through a curly grill.","lɛɹi hɹ̩li, ə bɹ̩li skwɹ̩əl hɹ̩əlɹ̩, hɹ̩ld ə fɹ̩i skwɹ̩əl θɹu ə kɹ̩li ɡɹɪl."
A big black bug bit a big black bear and made the big black bear bleed blood.,ə bɪɡ blæk bʌɡ bɪt ə bɪɡ blæk bɛɹ ænd mejd ðə bɪɡ blæk bɛɹ blid blʌd.
"We will learn why her lowly lone, worn yarn loom will rarely earn immoral money.","wi wɪl lɹ̩n waj hɹ̩ lowli lown, wɔɹn jɑɹn lum wɪl ɹɛɹli ɹ̩n ɪmɔɹəl mʌni."
Ed Nott was shot and Sam Shott was not.,ɛd nɑt wɑz ʃɑt ænd sæm ʃɑt wɑz nɑt.
"But if the shot Shott shot shot Shott, the shot was Shott, not Nott.","bʌt ɪf ðə ʃɑt ʃɑt ʃɑt ʃɑt ʃɑt, ðə ʃɑt wɑz ʃɑt, nɑt nɑt."
There's a sandwich on the sand which was sent by a sane witch.,θɛɹəz ə sændwɪt͡ʃ ɑn ðə sænd wɪt͡ʃ wɑz sɛnt baj ə sejn wɪt͡ʃ.
Mrs Hunt had a country cut front in the front of her country cut pettycoat.,mɪsɪz hʌnt hæd ə kʌntɹi kʌt fɹʌnt ɪn ðə fɹʌnt ʌv hɹ̩ kʌntɹi kʌt pɛtajkowt.
Ripe white wheat reapers reap ripe white wheat right.,ɹajp wajt wit ɹipɹ̩z ɹip ɹajp wajt wit ɹajt.
Sweet sagacious Sally Sanders said she sure saw seven segregated seaplanes sailing swiftly southward Saturday.,swit sɑɡæʃəs sæli sændɹ̩z sɛd ʃi ʃʊɹ sɔ sɛvən sɛɡɹəɡejtɪd siplejnz sejlɪŋ swɪftli sawθwɹ̩d sætɹ̩di.
"While we were walking, we were watching window washers wash Washington's windows with warm washing water.","wajl wi wɹ̩ wɔkɪŋ, wi wɹ̩ wɑt͡ʃɪŋ wɪndow wɑʃɹ̩z wɑʃ wɑʃɪŋtownz wɪndowz wɪð wɔɹm wɑʃɪŋ wɔtɹ̩."
Elizabeth has eleven elves in her elm tree.,ɪlɪzəbəθ hæz ɪlɛvən ɛlvz ɪn hɹ̩ ɛlm tɹi.
If coloured caterpillars could change their colours constantly could they keep their coloured coat coloured properly?,ɪf kʌlɹ̩d kætəpɪlɹ̩z kʊd t͡ʃejnd͡ʒ ðɛɹ kʌlɹ̩z kɑnstəntli kʊd ðej kip ðɛɹ kʌlɹ̩d kowt kʌlɹ̩d pɹɑpɹ̩li?
A gazillion gigantic grapes gushed gradually giving gophers gooey guts.,ə ɡɑzɪljən d͡ʒajɡæntɪk ɡɹejps ɡʌʃt ɡɹæd͡ʒuəli ɡɪvɪŋ ɡowfɹ̩z ɡui ɡʌts.
"I'm not the fig plucker, nor the fig plucker's son, but I'll pluck figs till the fig plucker comes.","ɪm nɑt ðə fɪɡ plʌkɹ̩, nɔɹ ðə fɪɡ plʌkɹ̩z sʌn, bʌt ɪl plʌk fɪɡz tɪl ðə fɪɡ plʌkɹ̩ kʌmz."
Casual clothes are provisional for leisurely trips across Asia.,kæʒəwəl klowðz ɑɹ pɹəvɪʒənəl fɔɹ lizɹ̩li tɹɪps əkɹɔs ejʒə.
Two tiny tigers take two taxis to town.,tu tajni tajɡɹ̩z tejk tu tæksiz tə tawn.
Chester Cheetah chews a chunk of cheep cheddar cheese.,t͡ʃɛstɹ̩ t͡ʃitə t͡ʃuz ə t͡ʃʌŋk ʌv t͡ʃip t͡ʃɛdɹ̩ t͡ʃiz.
"Wow, race winners really want red wine right away!","waw, ɹejs wɪnɹ̩z ɹɪli wɑnt ɹɛd wajn ɹajt əwej!"
Gobbling gorgoyles gobbled gobbling goblins.,ɡɑbəlɪŋ ɡɔɹɡojlz ɡɑbəld ɡɑbəlɪŋ ɡɑblɪnz.
Six sleek swans swam swiftly southwards.,sɪks slik swɑnz swæm swɪftli sawθwɹ̩dz.
Nine nimble noblemen nibbling nuts.,najn nɪmbəl nowbəlmən nɪbəlɪŋ nʌts.
Ingenious iguanas improvising an intricate impromptu on impossibly impractical instruments.,ɪnd͡ʒinjəs ɪɡwɑnəz ɪmpɹəvajzɪŋ æn ɪntɹəkət ɪmpɹɑmptu ɑn ɪmpɑsəbli ɪmpɹæktəkəl ɪnstɹəmənts.
Two tiny timid toads trying to trot to Tarrytown.,tu tajni tɪmɪd towdz tɹajɪŋ tə tɹɑt tə tɛɹitawn.
"If Stu chews shoes, should Stu choose the shoes he chews?","ɪf stu t͡ʃuz ʃuz, ʃʊd stu t͡ʃuz ðə ʃuz hi t͡ʃuz?"
"How much pot, could a pot roast roast, if a pot roast could roast pot.","haw mʌt͡ʃ pɑt, kʊd ə pɑt ɹowst ɹowst, ɪf ə pɑt ɹowst kʊd ɹowst pɑt."
How many cans can a cannibal nibble if a cannibal can nibble cans?,haw mɛni kænz kæn ə kænəbəl nɪbəl ɪf ə kænəbəl kæn nɪbəl kænz?
"Thirty-three thirsty, thundering thoroughbreds thumped Mr. Thurber on Thursday.","θɹ̩di-θɹi θɹ̩sti, θʌndɹ̩ɪŋ θɹ̩owbɹɛdz θʌmpt mɪstɹ̩. θɹ̩bɹ̩ ɑn θɹ̩zdi."
Rory the warrior and Roger the worrier were reared wrongly in a rural brewery.,ɹɔɹi ðə wɔɹiɹ̩ ænd ɹɑd͡ʒɹ̩ ðə wɹ̩iɹ̩ wɹ̩ ɹɪɹd ɹɔŋli ɪn ə ɹʊɹəl bɹuɹ̩i.
"If you're keen on stunning kites and cunning stunts, buy a cunning stunning stunt kite.","ɪf jɹ kin ɑn stʌnɪŋ kajts ænd kʌnɪŋ stʌnts, baj ə kʌnɪŋ stʌnɪŋ stʌnt kajt."
There was a minimum of cinnamon in the aluminium pan.,ðɛɹ wɑz ə mɪnəməm ʌv sɪnəmən ɪn ðə æljəmɪniəm pæn.
Nine nice night nurses nursing nicely.,najn najs najt nɹ̩səz nɹ̩sɪŋ najsli.
Bed spreaders spread spreads on beds and bread spreaders spread butter on breads.,bɛd spɹɛdɹ̩z spɹɛd spɹɛdz ɑn bɛdz ænd bɹɛd spɹɛdɹ̩z spɹɛd bʌtɹ̩ ɑn bɹɛdz.
Betty loves the velvet vest best.,bɛti lʌvz ðə vɛlvət vɛst bɛst.
Vivacious Val vacuumed Violet’s very vivid vehicle.,vəvejʃəs væl vækʌumd vajələts vɛɹi vɪvəd vihɪkəl.
Eddie edited Earl’s easy music.,ɛdi ɛdətəd ɹ̩lz izi mjuzɪk.
An awful aardvark and an aching ape ate an antelope.,æn ɑfəl ɑɹdvɑɹk ænd æn ejkɪŋ ejp ejt æn æntəlowp.
Annie ate eight Arctic apples.,æni ejt ejt ɑɹktɪk æpəlz.
Printed papers under pressure make pens prickle.,pɹɪntəd pejpɹ̩z ʌndɹ̩ pɹɛʃɹ̩ mejk pɛnz pɹɪkəl.
The poor boar pours batter over his putter.,ðə pʊɹ bɔɹ pɔɹz bætɹ̩ owvɹ̩ hɪz pʌtɹ̩.
Jolly juggling jesters jauntily juggled jingling jacks.,d͡ʒɑli d͡ʒʌɡəlɪŋ d͡ʒɛstɹ̩z d͡ʒɔntəli d͡ʒʌɡəld d͡ʒɪŋɡəlɪŋ d͡ʒæks.
Kindly kittens knitting mittens keep kazooing in the king’s kitchen.,kajndli kɪtənz nɪtɪŋ mɪtənz kip kəzuɪŋ ɪn ðə kɪŋz kɪt͡ʃən.
"A tricky, frisky snake with sixty super scaly stripes.","ə tɹɪki, fɹɪski snejk wɪð sɪksti supɹ̩ skɑli stɹajps."
"Not these things here, but those things there.","nɑt ðiz θɪŋz hɪɹ, bʌt ðowz θɪŋz ðɛɹ."
"I can think of six thin things, but I can think of six thick things too.","aj kæn θɪŋk ʌv sɪks θɪn θɪŋz, bʌt aj kæn θɪŋk ʌv sɪks θɪk θɪŋz tu."
Seventeen slimy slugs in shiny sombreros sat singing short sad songs.,sɛvəntin slajmi slʌɡz ɪn ʃajni sɑmbɹɹowz sæt sɪŋɪŋ ʃɔɹt sæd sɔŋz.
Bill Badger brought the bear a bit of boiled bacon in a brown bag.,bɪl bæd͡ʒɹ̩ bɹɔt ðə bɛɹ ə bɪt ʌv bojld bejkən ɪn ə bɹawn bæɡ.
We surely shall see the sun shine soon.,wi ʃʊɹli ʃæl si ðə sʌn ʃajn sun.
I wish you were a fish in my dish.,aj wɪʃ ju wɹ̩ ə fɪʃ ɪn maj dɪʃ.
Which witch wished which wicked wish?,wɪt͡ʃ wɪt͡ʃ wɪʃt wɪt͡ʃ wɪkəd wɪʃ?
Fat frogs flew past fast.,fæt fɹɑɡz flu pæst fæst.
Twelve twins twirled twelve twigs.,twɛlv twɪnz twɹ̩ld twɛlv twɪɡz.
Santa's short suit shrunk.,sɑntəz ʃɔɹt sut ʃɹʌŋk.
Lesser leather never weathered wetter weather better.,lɛsɹ̩ lɛðɹ̩ nɛvɹ̩ wɛðɹ̩d wɛtɹ̩ wɛðɹ̩ bɛtɹ̩.
The sinking steamer sank.,ðə sɪŋkɪŋ stimɹ̩ sæŋk.
"A little work, a little sleep, a little love and it is all over.","ə lɪtəl wɹ̩k, ə lɪtəl slip, ə lɪtəl lʌv ænd ɪt ɪz ɔl owvɹ̩."
silly sheep weep and sleep.,sɪli ʃip wip ænd slip.
Gertie's great grandma grew aghast at Gertie's grammar.,ɡɹ̩tiz ɡɹejt ɡɹæmɑ ɡɹu əɡæst æt ɡɹ̩tiz ɡɹæmɹ̩.
I saw Paul's daughter opening the door of the automobile before Paul.,aj sɔ pɔlz dɔtɹ̩ owpənɪŋ ðə dɔɹ ʌv ðə ɔtəmowbil bɪfɔɹ pɔl.
Lily ladles little Letty's lentil soup.,lɪli lejdəlz lɪtəl lɛtɪz lɛntəl sup.
We switched our sweaty sweaters swiftly.,wi swɪt͡ʃt awɹ̩ swɛti swɛtɹ̩z swɪftli.
